date,electricity_price,material_price_index,labor_cost_rate
2024-03-18,0.0728,98.66,25.32
2024-03-19,0.0607,99.77,25.32
2024-03-20,0.1043,98.65,25.32
2024-03-21,0.0937,98.19,25.33
2024-03-22,0.0794,98.18,25.33
2024-03-23,0.093,98.83,25.34
2024-03-24,0.1018,99.52,25.34
2024-03-25,0.0972,99.69,25.35
2024-03-26,0.1053,99.12,25.35
2024-03-27,0.1356,98.91,25.35
2024-03-28,0.1184,98.62,25.36
2024-03-29,0.1194,98.84,25.36
2024-03-30,0.1193,98.71,25.37
2024-03-31,0.1336,99.66,25.37
2024-04-01,0.1337,100.82,25.37
2024-04-02,0.1273,100.59,25.38
2024-04-03,0.1461,100.55,25.38
2024-04-04,0.1463,100.8,25.39
2024-04-05,0.1496,100.42,25.39
2024-04-06,0.1514,99.81,25.39
2024-04-07,0.1587,100.13,25.4
2024-04-08,0.1507,100.37,25.4
2024-04-09,0.1632,100.19,25.41
2024-04-10,0.1706,100.28,25.41
2024-04-11,0.1742,100.21,25.42
2024-04-12,0.1806,100.39,25.42
2024-04-13,0.1398,100.45,25.42
2024-04-14,0.1684,101.06,25.43
2024-04-15,0.165,101.34,25.43
2024-04-16,0.1643,100.83,25.44
2024-04-17,0.1913,100.62,25.44
2024-04-18,0.1628,100.91,25.44
2024-04-19,0.1805,100.93,25.45
2024-04-20,0.1987,101.12,25.45
2024-04-21,0.1868,101.16,25.46
2024-04-22,0.2071,101.22,25.46
2024-04-23,0.2158,101.41,25.46
2024-04-24,0.2091,101.63,25.47
2024-04-25,0.2181,102.18,25.47
2024-04-26,0.2446,101.64,25.48
2024-04-27,0.21,102.11,25.48
2024-04-28,0.198,101.97,25.48
2024-04-29,0.2132,101.34,25.49
2024-04-30,0.2284,102.11,25.49
2024-05-01,0.2127,102.57,25.5
2024-05-02,0.2356,102.81,25.5
2024-05-03,0.2149,102.33,25.51
2024-05-04,0.2152,101.36,25.51
2024-05-05,0.2228,101.3,25.51
2024-05-06,0.2405,101.21,25.52
2024-05-07,0.2166,100.96,25.52
2024-05-08,0.253,100.5,25.53
2024-05-09,0.2729,100.61,25.53
2024-05-10,0.2665,99.49,25.53
2024-05-11,0.2662,98.81,25.54
2024-05-12,0.2931,98.91,25.54
2024-05-13,0.2665,98.15,25.55
2024-05-14,0.2761,98.44,25.55
2024-05-15,0.2899,97.94,25.55
2024-05-16,0.2812,97.99,25.56
2024-05-17,0.2809,97.45,25.56
2024-05-18,0.2972,97.28,25.57
2024-05-19,0.3147,97.08,25.57
2024-05-20,0.2903,96.48,25.58
2024-05-21,0.2817,95.99,25.58
2024-05-22,0.2761,95.59,25.58
2024-05-23,0.295,95.93,25.59
2024-05-24,0.2954,95.72,25.59
2024-05-25,0.2814,95.62,25.6
2024-05-26,0.2721,95.73,25.6
2024-05-27,0.3037,95.97,25.6
2024-05-28,0.2975,96.65,25.61
2024-05-29,0.2997,96.08,25.61
2024-05-30,0.2979,96.2,25.62
2024-05-31,0.2827,146.42,25.62
2024-06-01,0.3163,146.83,25.62
2024-06-02,0.3078,147.62,25.63
2024-06-03,0.3128,148.13,25.63
2024-06-04,0.3214,149.55,25.64
2024-06-05,0.3006,150.29,25.64
2024-06-06,0.3342,150.84,25.65
2024-06-07,0.3124,151.57,25.65
2024-06-08,0.35,152.69,25.65
2024-06-09,0.3363,154.06,25.66
2024-06-10,0.3219,154.87,25.66
2024-06-11,0.328,155.23,25.67
2024-06-12,0.3416,157.02,25.67
2024-06-13,0.3347,157.96,25.67
2024-06-14,0.3029,157.46,25.68
2024-06-15,0.3276,157.28,25.68
2024-06-16,0.3387,157.72,25.69
2024-06-17,0.33,158.75,25.69
2024-06-18,0.3285,159.82,25.69
2024-06-19,0.3298,159.55,25.7
2024-06-20,0.3561,160.67,25.7
2024-06-21,0.3335,162.09,25.71
2024-06-22,0.3537,162.65,25.71
2024-06-23,0.362,163.87,25.72
2024-06-24,0.3638,165.13,25.72
2024-06-25,0.3435,165.18,25.72
2024-06-26,0.3449,165.6,25.73
2024-06-27,0.3499,166.42,25.73
2024-06-28,0.3461,167.78,25.74
2024-06-29,0.3462,168.72,25.74
2024-06-30,0.3518,169.5,25.74
2024-07-01,0.3497,169.35,25.75
2024-07-02,0.3477,169.42,25.75
2024-07-03,0.3357,170.35,25.76
2024-07-04,0.3353,171.05,25.76
2024-07-05,0.3468,172.14,25.76
2024-07-06,0.3646,173.0,25.77
2024-07-07,0.3698,173.54,25.77
2024-07-08,0.3576,175.12,25.78
2024-07-09,0.3413,176.38,25.78
2024-07-10,0.3622,178.1,25.78
2024-07-11,0.3957,179.1,25.79
2024-07-12,0.3851,179.88,25.79
2024-07-13,0.3481,180.78,25.8
2024-07-14,0.3391,181.27,25.8
2024-07-15,0.3397,183.13,25.81
2024-07-16,0.3412,183.64,25.81
2024-07-17,0.346,184.96,25.81
2024-07-18,0.3239,186.02,25.82
2024-07-19,0.3582,187.05,25.82
2024-07-20,0.3464,188.27,25.83
2024-07-21,0.3635,188.12,25.83
2024-07-22,0.3323,189.17,25.83
2024-07-23,0.3434,190.6,25.84
2024-07-24,0.3396,191.89,25.84
2024-07-25,0.3529,192.87,25.85
2024-07-26,0.3319,193.38,25.85
2024-07-27,0.3399,194.38,25.85
2024-07-28,0.3176,195.81,25.86
2024-07-29,0.3073,197.33,25.86
2024-07-30,0.347,197.91,25.87
2024-07-31,0.3408,198.63,25.87
2024-08-01,0.3446,200.49,25.88
2024-08-02,0.3337,201.54,25.88
2024-08-03,0.3392,202.14,25.88
2024-08-04,0.3205,202.48,25.89
2024-08-05,0.3208,203.45,25.89
2024-08-06,0.3233,205.04,25.9
2024-08-07,0.3209,206.57,25.9
2024-08-08,0.3171,207.93,25.9
2024-08-09,0.3212,208.68,25.91
2024-08-10,0.3197,209.61,25.91
2024-08-11,0.3201,211.2,25.92
2024-08-12,0.3092,211.56,25.92
2024-08-13,0.3386,212.41,25.92
2024-08-14,0.2873,213.6,25.93
2024-08-15,0.3293,214.64,25.93
2024-08-16,0.3019,215.42,25.94
2024-08-17,0.3141,216.64,25.94
2024-08-18,0.3196,217.3,25.95
2024-08-19,0.3062,218.21,25.95
2024-08-20,0.2863,219.37,25.95
2024-08-21,0.2758,220.97,25.96
2024-08-22,0.289,221.8,25.96
2024-08-23,0.3081,223.46,25.97
2024-08-24,0.3241,224.97,25.97
2024-08-25,0.2974,226.12,25.97
2024-08-26,0.2954,227.39,25.98
2024-08-27,0.2696,228.75,25.98
2024-08-28,0.2841,229.72,25.99
2024-08-29,0.3093,230.41,25.99
2024-08-30,0.2589,232.34,25.99
2024-08-31,0.282,234.04,26.0
2024-09-01,0.264,234.87,26.0
2024-09-02,0.2745,236.02,26.01
2024-09-03,0.258,237.57,26.01
2024-09-04,0.2632,238.07,26.02
2024-09-05,0.2441,239.51,26.02
2024-09-06,0.2354,240.16,26.02
2024-09-07,0.2621,240.72,26.03
2024-09-08,0.2378,242.09,26.03
2024-09-09,0.234,243.88,26.04
2024-09-10,0.2822,244.5,26.04
2024-09-11,0.2499,244.94,26.04
2024-09-12,0.2372,245.78,26.05
2024-09-13,0.2515,246.77,26.05
2024-09-14,0.2397,247.79,26.06
2024-09-15,0.2251,248.48,26.06
2024-09-16,0.2478,249.23,26.06
2024-09-17,0.227,249.1,26.07
2024-09-18,0.2025,250.99,26.07
2024-09-19,0.2149,251.2,26.08
2024-09-20,0.2412,252.72,26.08
2024-09-21,0.2183,253.84,26.08
2024-09-22,0.2,254.9,26.09
2024-09-23,0.2071,255.32,26.09
2024-09-24,0.2172,256.65,26.1
2024-09-25,0.1808,257.98,26.1
2024-09-26,0.1922,259.26,26.11
2024-09-27,0.1692,260.53,26.11
2024-09-28,0.1743,261.63,26.11
2024-09-29,0.2004,263.01,26.12
2024-09-30,0.1951,264.12,26.12
2024-10-01,0.1833,265.25,26.13
2024-10-02,0.174,266.91,26.13
2024-10-03,0.1682,268.23,26.13
2024-10-04,0.1837,269.64,26.14
2024-10-05,0.1625,270.58,26.14
2024-10-06,0.1768,272.15,26.15
2024-10-07,0.1545,272.97,26.15
2024-10-08,0.1655,274.69,26.15
2024-10-09,0.1705,276.4,26.16
2024-10-10,0.1522,277.36,26.16
2024-10-11,0.1641,279.0,26.17
2024-10-12,0.1318,281.0,26.17
2024-10-13,0.1332,283.09,26.18
2024-10-14,0.1362,283.74,26.18
2024-10-15,0.1133,285.08,26.18
2024-10-16,0.1517,286.35,26.19
2024-10-17,0.1199,287.48,26.19
2024-10-18,0.1415,288.28,26.2
2024-10-19,0.118,290.22,26.2
2024-10-20,0.1272,291.07,26.2
2024-10-21,0.0864,292.01,26.21
2024-10-22,0.1156,292.97,26.21
2024-10-23,0.0852,293.52,26.22
2024-10-24,0.1063,295.13,26.22
2024-10-25,0.0869,296.54,26.22
2024-10-26,0.1021,296.98,26.23
2024-10-27,0.1067,298.97,26.23
2024-10-28,0.0894,300.12,26.24
2024-10-29,0.094,300.83,26.24
2024-10-30,0.0933,302.35,26.25
2024-10-31,0.0799,304.36,26.25
2024-11-01,0.0788,306.34,26.25
2024-11-02,0.1054,307.38,26.26
2024-11-03,0.0737,308.8,26.26
2024-11-04,0.0871,310.45,26.27
2024-11-05,0.0639,312.43,26.27
2024-11-06,0.05,313.1,26.27
2024-11-07,0.0621,313.44,26.28
2024-11-08,0.05,314.83,26.28
2024-11-09,0.052,316.65,26.29
2024-11-10,0.05,317.96,26.29
2024-11-11,0.0547,319.91,26.29
2024-11-12,0.0616,320.92,26.3
2024-11-13,0.0511,322.2,26.3
2024-11-14,0.05,323.9,26.31
2024-11-15,0.05,325.27,26.31
2024-11-16,0.05,326.98,26.32
2024-11-17,0.05,328.75,26.32
2024-11-18,0.05,330.22,26.32
2024-11-19,0.05,331.7,26.33
2024-11-20,0.05,331.94,26.33
2024-11-21,0.05,334.34,26.34
2024-11-22,0.05,335.85,26.34
2024-11-23,0.05,337.85,26.34
2024-11-24,0.05,339.85,26.35
2024-11-25,0.05,341.35,26.35
2024-11-26,0.05,343.37,26.36
2024-11-27,0.05,345.07,26.36
2024-11-28,0.05,346.42,26.36
2024-11-29,0.05,348.8,26.37
2024-11-30,0.05,350.37,26.37
2024-12-01,0.05,351.68,26.38
2024-12-02,0.05,353.41,26.38
2024-12-03,0.05,355.53,26.38
2024-12-04,0.05,357.12,26.39
2024-12-05,0.05,358.56,26.39
2024-12-06,0.05,360.14,26.4
2024-12-07,0.05,361.94,26.4
2024-12-08,0.05,364.46,26.41
2024-12-09,0.05,367.18,26.41
2024-12-10,0.05,368.81,26.41
2024-12-11,0.05,370.4,26.42
2024-12-12,0.05,372.68,26.42
2024-12-13,0.05,374.59,26.43
2024-12-14,0.05,376.01,26.43
2024-12-15,0.05,378.83,26.43
2024-12-16,0.05,382.2,26.44
2024-12-17,0.05,384.79,26.44
2024-12-18,0.05,387.32,26.45
2024-12-19,0.05,390.08,26.45
2024-12-20,0.05,391.93,26.45
2024-12-21,0.05,394.03,26.46
2024-12-22,0.05,396.42,26.46
2024-12-23,0.05,397.65,26.47
2024-12-24,0.05,399.4,26.47
2024-12-25,0.05,400.17,26.48
2024-12-26,0.05,401.99,26.48
2024-12-27,0.05,404.33,26.48
2024-12-28,0.05,406.48,26.49
2024-12-29,0.05,408.35,26.49
2024-12-30,0.05,410.0,26.5
2024-12-31,0.05,411.55,26.5
