order_id,product_type,machine_id,start_time,end_time,qty_target
ORD-1028,Product_A,M03,2024-01-07 06:00:00.000000,2024-01-07 12:01:36.548728,602
ORD-1029,Product_A,M03,2024-01-07 12:45:36.548728,2024-01-07 21:26:14.715550,867
ORD-1030,Product_B,M01,2024-01-08 06:00:00.000000,2024-01-08 13:11:07.658614,1437
ORD-1031,Product_B,M01,2024-01-08 13:54:07.658614,2024-01-08 18:20:04.322985,886
ORD-1032,Product_A,M03,2024-01-08 06:00:00.000000,2024-01-08 11:20:43.538531,534
ORD-1033,Product_A,M03,2024-01-08 11:50:43.538531,2024-01-08 19:55:29.345491,807
ORD-1034,Product_B,M01,2024-01-09 06:00:00.000000,2024-01-09 13:38:33.722639,1528
ORD-1035,Product_B,M03,2024-01-09 06:00:00.000000,2024-01-09 15:25:35.261546,1885
ORD-1036,Product_B,M03,2024-01-09 16:52:35.261546,2024-01-09 21:24:57.334715,907
ORD-1037,Product_B,M01,2024-01-10 06:00:00.000000,2024-01-10 10:40:07.094703,933
ORD-1038,Product_B,M01,2024-01-10 12:08:07.094703,2024-01-10 19:08:39.150446,1401
ORD-1039,Product_B,M02,2024-01-10 06:00:00.000000,2024-01-10 17:49:28.763436,2364
ORD-1040,Product_A,M03,2024-01-10 06:00:00.000000,2024-01-10 13:55:35.214919,792
ORD-1041,Product_A,M03,2024-01-10 14:52:35.214919,2024-01-10 22:19:17.894577,744
ORD-1042,Product_B,M01,2024-01-11 06:00:00.000000,2024-01-11 15:04:22.743820,1814
ORD-1043,Product_B,M02,2024-01-11 06:00:00.000000,2024-01-11 17:52:03.243186,2373
ORD-1044,Product_A,M03,2024-01-11 06:00:00.000000,2024-01-11 13:51:44.935078,786
ORD-1045,Product_B,M02,2024-01-12 06:00:00.000000,2024-01-12 12:02:04.449642,1206
ORD-1046,Product_B,M02,2024-01-12 13:30:04.449642,2024-01-12 18:50:38.643657,1068
ORD-1047,Product_A,M03,2024-01-12 06:00:00.000000,2024-01-12 17:32:43.909166,1154
ORD-1048,Product_A,M01,2024-01-13 06:00:00.000000,2024-01-13 12:47:50.385258,679
ORD-1049,Product_A,M02,2024-01-13 06:00:00.000000,2024-01-13 11:04:08.507883,506
ORD-1050,Product_A,M03,2024-01-13 06:00:00.000000,2024-01-13 10:59:48.721197,499
ORD-1051,Product_A,M03,2024-01-13 12:09:48.721197,2024-01-13 18:52:25.336807,671
ORD-1052,Product_B,M01,2024-01-14 06:00:00.000000,2024-01-14 10:04:10.516723,813
ORD-1053,Product_A,M02,2024-01-14 06:00:00.000000,2024-01-14 12:37:01.350140,661
ORD-1054,Product_B,M02,2024-01-14 14:02:01.350140,2024-01-14 20:56:26.135526,1381
ORD-1055,Product_A,M03,2024-01-14 06:00:00.000000,2024-01-14 15:46:53.352928,978
ORD-1056,Product_B,M01,2024-01-15 06:00:00.000000,2024-01-15 16:35:00.152233,2116
ORD-1057,Product_B,M02,2024-01-15 06:00:00.000000,2024-01-15 15:13:58.125036,1846
ORD-1058,Product_A,M03,2024-01-15 06:00:00.000000,2024-01-15 17:50:47.871779,1184
ORD-1059,Product_B,M02,2024-01-16 06:00:00.000000,2024-01-16 16:53:15.297232,2177
ORD-1060,Product_B,M03,2024-01-16 06:00:00.000000,2024-01-16 17:35:47.074316,2319
ORD-1061,Product_B,M01,2024-01-17 06:00:00.000000,2024-01-17 17:33:49.043980,2312
ORD-1062,Product_A,M01,2024-01-17 18:06:49.043980,2024-01-17 23:11:17.104229,507
ORD-1063,Product_B,M02,2024-01-17 06:00:00.000000,2024-01-17 16:04:18.831200,2014
ORD-1064,Product_A,M03,2024-01-17 06:00:00.000000,2024-01-17 13:06:22.121550,710
ORD-1065,Product_B,M01,2024-01-18 06:00:00.000000,2024-01-18 11:23:52.827682,1079
ORD-1066,Product_B,M03,2024-01-18 06:00:00.000000,2024-01-18 12:32:39.442017,1308
ORD-1067,Product_B,M03,2024-01-18 14:02:39.442017,2024-01-18 19:45:03.858631,1141
ORD-1068,Product_A,M01,2024-01-19 06:00:00.000000,2024-01-19 17:04:15.668434,1107
ORD-1069,Product_A,M03,2024-01-19 06:00:00.000000,2024-01-19 13:27:31.835772,745
ORD-1070,Product_A,M03,2024-01-19 14:39:31.835772,2024-01-19 22:58:17.239290,831
ORD-1071,Product_A,M01,2024-01-20 06:00:00.000000,2024-01-20 11:47:56.128270,579
ORD-1072,Product_B,M01,2024-01-20 13:01:56.128270,2024-01-20 22:23:00.173941,1870
ORD-1073,Product_B,M03,2024-01-20 06:00:00.000000,2024-01-20 13:25:28.361456,1484
ORD-1074,Product_A,M03,2024-01-20 14:04:28.361456,2024-01-20 21:13:04.677915,714
ORD-1075,Product_A,M01,2024-01-21 06:00:00.000000,2024-01-21 13:00:09.859284,700
ORD-1076,Product_A,M01,2024-01-21 14:29:09.859284,2024-01-21 22:54:39.557867,842
ORD-1077,Product_A,M03,2024-01-21 06:00:00.000000,2024-01-21 10:36:01.100800,460
ORD-1078,Product_B,M03,2024-01-21 11:27:01.100800,2024-01-21 17:58:05.099780,1303
ORD-1079,Product_A,M01,2024-01-22 06:00:00.000000,2024-01-22 14:16:22.751766,827
ORD-1080,Product_B,M03,2024-01-22 06:00:00.000000,2024-01-22 12:50:34.336030,1368
ORD-1081,Product_A,M01,2024-01-23 06:00:00.000000,2024-01-23 11:46:34.197879,577
ORD-1082,Product_A,M01,2024-01-23 12:35:34.197879,2024-01-23 18:40:45.437763,608
ORD-1083,Product_A,M02,2024-01-23 06:00:00.000000,2024-01-23 14:30:36.020762,851
ORD-1084,Product_B,M03,2024-01-23 06:00:00.000000,2024-01-23 10:55:26.967182,984
ORD-1085,Product_A,M02,2024-01-24 06:00:00.000000,2024-01-24 10:43:29.389343,472
ORD-1086,Product_B,M02,2024-01-24 12:06:29.389343,2024-01-24 19:57:10.461569,1568
ORD-1087,Product_A,M03,2024-01-24 06:00:00.000000,2024-01-24 13:06:42.812562,711
ORD-1088,Product_B,M03,2024-01-24 14:01:42.812562,2024-01-24 21:45:53.504320,1547
ORD-1089,Product_B,M01,2024-01-25 06:00:00.000000,2024-01-25 16:49:25.810544,2164
ORD-1090,Product_A,M02,2024-01-25 06:00:00.000000,2024-01-25 11:16:02.434985,526
ORD-1091,Product_B,M02,2024-01-25 12:08:02.434985,2024-01-25 23:51:34.462385,2345
ORD-1092,Product_A,M03,2024-01-25 06:00:00.000000,2024-01-25 13:29:17.575732,748
ORD-1093,Product_A,M03,2024-01-25 14:13:17.575732,2024-01-25 21:50:15.936841,761
ORD-1094,Product_B,M01,2024-01-26 06:00:00.000000,2024-01-26 14:17:32.478657,1658
ORD-1095,Product_B,M01,2024-01-26 15:46:32.478657,2024-01-26 22:49:13.323802,1408
ORD-1096,Product_A,M03,2024-01-26 06:00:00.000000,2024-01-26 15:23:28.344664,939
ORD-1097,Product_A,M01,2024-01-27 06:00:00.000000,2024-01-27 13:05:41.317329,709
ORD-1098,Product_A,M01,2024-01-27 14:03:41.317329,2024-01-27 20:38:17.262855,657
ORD-1099,Product_B,M03,2024-01-27 06:00:00.000000,2024-01-27 10:52:02.173927,973
ORD-1100,Product_A,M03,2024-01-27 11:35:02.173927,2024-01-27 15:42:16.839522,412
ORD-1101,Product_A,M01,2024-01-28 06:00:00.000000,2024-01-28 16:34:29.666657,1057
ORD-1102,Product_A,M01,2024-01-28 17:31:29.666657,2024-01-28 23:14:34.158256,571
ORD-1103,Product_A,M02,2024-01-28 06:00:00.000000,2024-01-28 16:44:42.909783,1074
ORD-1104,Product_B,M03,2024-01-28 06:00:00.000000,2024-01-28 10:25:18.073044,884
ORD-1105,Product_B,M03,2024-01-28 11:37:18.073044,2024-01-28 21:55:57.462328,2062
ORD-1106,Product_A,M01,2024-01-29 06:00:00.000000,2024-01-29 17:09:22.092013,1115
ORD-1107,Product_B,M02,2024-01-29 06:00:00.000000,2024-01-29 17:45:30.938721,2351
ORD-1108,Product_A,M03,2024-01-29 06:00:00.000000,2024-01-29 13:25:28.116287,742
ORD-1109,Product_B,M01,2024-01-30 06:00:00.000000,2024-01-30 11:37:51.168341,1126
ORD-1110,Product_B,M01,2024-01-30 12:59:51.168341,2024-01-30 22:07:06.365881,1824
ORD-1111,Product_A,M02,2024-01-30 06:00:00.000000,2024-01-30 13:35:55.627030,759
ORD-1112,Product_A,M02,2024-01-30 14:28:55.627030,2024-01-30 20:45:11.477319,627
ORD-1113,Product_B,M03,2024-01-30 06:00:00.000000,2024-01-30 12:18:38.633039,1262
ORD-1114,Product_B,M01,2024-01-31 06:00:00.000000,2024-01-31 12:27:32.128094,1291
ORD-1115,Product_A,M02,2024-01-31 06:00:00.000000,2024-01-31 14:24:28.515039,840
ORD-1116,Product_A,M03,2024-01-31 06:00:00.000000,2024-01-31 12:16:32.937531,627
ORD-1117,Product_A,M03,2024-01-31 12:54:32.937531,2024-01-31 23:45:48.807142,1085
ORD-1118,Product_B,M01,2024-02-01 06:00:00.000000,2024-02-01 11:37:10.963634,1123
ORD-1119,Product_A,M02,2024-02-01 06:00:00.000000,2024-02-01 15:19:53.314472,933
ORD-1120,Product_A,M03,2024-02-01 06:00:00.000000,2024-02-01 12:26:28.865033,644
ORD-1121,Product_B,M01,2024-02-02 06:00:00.000000,2024-02-02 11:51:48.071565,1172
ORD-1122,Product_A,M03,2024-02-02 06:00:00.000000,2024-02-02 15:56:00.734386,993
ORD-1123,Product_B,M01,2024-02-03 06:00:00.000000,2024-02-03 10:13:50.670396,846
ORD-1124,Product_A,M01,2024-02-03 11:10:50.670396,2024-02-03 20:44:30.135050,956
ORD-1125,Product_B,M02,2024-02-03 06:00:00.000000,2024-02-03 14:21:48.865201,1672
ORD-1126,Product_B,M03,2024-02-03 06:00:00.000000,2024-02-03 14:24:59.820091,1683
ORD-1127,Product_A,M03,2024-02-04 06:00:00.000000,2024-02-04 16:05:14.142933,1008
ORD-1128,Product_B,M03,2024-02-04 17:26:14.142933,2024-02-04 22:36:29.246760,1034
ORD-1129,Product_B,M01,2024-02-05 06:00:00.000000,2024-02-05 12:04:04.953883,1213
ORD-1130,Product_A,M02,2024-02-05 06:00:00.000000,2024-02-05 13:14:10.222213,723
ORD-1131,Product_A,M02,2024-02-05 14:36:10.222213,2024-02-05 20:32:26.164392,593
ORD-1132,Product_B,M03,2024-02-05 06:00:00.000000,2024-02-05 15:53:30.056013,1978
ORD-1133,Product_B,M02,2024-02-06 06:00:00.000000,2024-02-06 10:39:21.312655,931
ORD-1134,Product_A,M02,2024-02-06 11:41:21.312655,2024-02-06 21:32:04.959522,984
ORD-1135,Product_B,M01,2024-02-07 06:00:00.000000,2024-02-07 17:35:09.509959,2317
ORD-1136,Product_B,M02,2024-02-07 06:00:00.000000,2024-02-07 15:05:40.760606,1818
ORD-1137,Product_B,M03,2024-02-07 06:00:00.000000,2024-02-07 15:20:03.644684,1866
ORD-1138,Product_A,M02,2024-02-08 06:00:00.000000,2024-02-08 17:42:31.115439,1170
ORD-1139,Product_A,M01,2024-02-09 06:00:00.000000,2024-02-09 13:58:48.270656,798
ORD-1140,Product_A,M02,2024-02-09 06:00:00.000000,2024-02-09 11:54:56.963043,591
ORD-1141,Product_B,M02,2024-02-09 13:06:56.963043,2024-02-09 23:02:07.865107,1983
ORD-1142,Product_B,M03,2024-02-09 06:00:00.000000,2024-02-09 10:21:14.983140,870
ORD-1143,Product_A,M03,2024-02-09 11:48:14.983140,2024-02-09 20:05:02.933018,827
ORD-1144,Product_A,M01,2024-02-10 06:00:00.000000,2024-02-10 13:28:48.603373,748
ORD-1145,Product_B,M01,2024-02-10 14:54:48.603373,2024-02-10 23:50:08.704564,1784
ORD-1146,Product_B,M02,2024-02-10 06:00:00.000000,2024-02-10 14:46:14.624579,1754
ORD-1147,Product_B,M03,2024-02-10 06:00:00.000000,2024-02-10 17:57:34.639731,2391
ORD-1148,Product_A,M01,2024-02-11 06:00:00.000000,2024-02-11 12:52:48.343086,688
ORD-1149,Product_A,M01,2024-02-11 13:27:48.343086,2024-02-11 23:38:45.510764,1018
ORD-1150,Product_A,M03,2024-02-11 06:00:00.000000,2024-02-11 10:22:34.082319,437
ORD-1151,Product_B,M01,2024-02-12 06:00:00.000000,2024-02-12 11:37:37.157172,1125
ORD-1152,Product_B,M01,2024-02-12 12:47:37.157172,2024-02-12 17:09:45.295950,873
ORD-1153,Product_B,M02,2024-02-12 06:00:00.000000,2024-02-12 17:30:49.088501,2302
ORD-1154,Product_B,M03,2024-02-12 06:00:00.000000,2024-02-12 13:52:44.429243,1575
ORD-1155,Product_B,M03,2024-02-12 14:31:44.429243,2024-02-12 21:59:04.899025,1491
ORD-1156,Product_A,M01,2024-02-13 06:00:00.000000,2024-02-13 14:53:14.376844,888
ORD-1157,Product_A,M01,2024-02-13 16:01:14.376844,2024-02-13 20:09:59.368020,414
ORD-1158,Product_B,M02,2024-02-13 06:00:00.000000,2024-02-13 11:41:09.962788,1137
ORD-1159,Product_A,M02,2024-02-13 12:57:09.962788,2024-02-13 17:05:37.495832,414
ORD-1160,Product_B,M03,2024-02-13 06:00:00.000000,2024-02-13 13:43:35.591012,1545
ORD-1161,Product_A,M03,2024-02-13 15:11:35.591012,2024-02-13 21:06:11.891857,591
ORD-1162,Product_B,M01,2024-02-14 06:00:00.000000,2024-02-14 17:42:57.134728,2343
ORD-1163,Product_B,M03,2024-02-14 06:00:00.000000,2024-02-14 10:50:25.246348,968
ORD-1164,Product_B,M03,2024-02-14 12:20:25.246348,2024-02-14 22:13:03.072474,1975
ORD-1165,Product_B,M01,2024-02-15 06:00:00.000000,2024-02-15 11:52:00.615452,1173
ORD-1166,Product_B,M01,2024-02-15 12:41:00.615452,2024-02-15 19:02:32.457012,1271
ORD-1167,Product_A,M02,2024-02-15 06:00:00.000000,2024-02-15 17:40:52.472351,1168
ORD-1168,Product_B,M03,2024-02-15 06:00:00.000000,2024-02-15 15:34:27.693304,1914
ORD-1169,Product_B,M02,2024-02-16 06:00:00.000000,2024-02-16 10:54:24.706238,981
ORD-1170,Product_B,M01,2024-02-17 06:00:00.000000,2024-02-17 13:30:06.908347,1500
ORD-1171,Product_A,M01,2024-02-17 14:24:06.908347,2024-02-17 20:48:15.490699,640
ORD-1172,Product_B,M02,2024-02-17 06:00:00.000000,2024-02-17 16:57:42.709555,2192
ORD-1173,Product_B,M02,2024-02-17 17:28:42.709555,2024-02-17 22:17:38.012756,963
ORD-1174,Product_B,M03,2024-02-17 06:00:00.000000,2024-02-17 12:04:22.931436,1214
ORD-1175,Product_A,M02,2024-02-18 06:00:00.000000,2024-02-18 14:03:29.528138,805
ORD-1176,Product_B,M02,2024-02-18 15:10:29.528138,2024-02-18 23:03:13.395044,1575
ORD-1177,Product_B,M03,2024-02-18 06:00:00.000000,2024-02-18 15:20:27.838270,1868
ORD-1178,Product_B,M01,2024-02-19 06:00:00.000000,2024-02-19 13:13:13.520634,1444
ORD-1179,Product_A,M02,2024-02-19 06:00:00.000000,2024-02-19 15:39:23.566457,965
ORD-1180,Product_B,M03,2024-02-19 06:00:00.000000,2024-02-19 16:07:38.926774,2025
ORD-1181,Product_A,M03,2024-02-19 16:56:38.926774,2024-02-19 23:08:11.376484,619
ORD-1182,Product_B,M01,2024-02-20 06:00:00.000000,2024-02-20 11:57:43.044363,1192
ORD-1183,Product_A,M01,2024-02-20 13:15:43.044363,2024-02-20 20:32:42.935392,728
ORD-1184,Product_A,M02,2024-02-20 06:00:00.000000,2024-02-20 13:27:23.750754,745
ORD-1185,Product_B,M02,2024-02-20 14:06:23.750754,2024-02-20 18:45:16.395157,929
ORD-1186,Product_A,M03,2024-02-20 06:00:00.000000,2024-02-20 15:16:59.512474,928
ORD-1187,Product_B,M01,2024-02-21 06:00:00.000000,2024-02-21 12:23:40.072484,1278
ORD-1188,Product_B,M03,2024-02-21 06:00:00.000000,2024-02-21 10:05:39.285413,818
ORD-1189,Product_B,M01,2024-02-22 06:00:00.000000,2024-02-22 15:10:59.413554,1836
ORD-1190,Product_A,M01,2024-02-22 15:40:59.413554,2024-02-22 20:08:42.717756,446
ORD-1191,Product_B,M02,2024-02-22 06:00:00.000000,2024-02-22 10:06:23.782177,821
ORD-1192,Product_B,M02,2024-02-22 10:54:23.782177,2024-02-22 15:20:28.305436,886
ORD-1193,Product_A,M03,2024-02-22 06:00:00.000000,2024-02-22 11:56:31.311379,594
ORD-1194,Product_A,M03,2024-02-22 13:24:31.311379,2024-02-22 21:57:44.259398,855
ORD-1195,Product_A,M01,2024-02-23 06:00:00.000000,2024-02-23 16:17:03.540212,1028
ORD-1196,Product_B,M01,2024-02-23 17:25:03.540212,2024-02-23 22:37:29.264141,1041
ORD-1197,Product_A,M02,2024-02-23 06:00:00.000000,2024-02-23 17:39:39.011887,1166
ORD-1198,Product_A,M03,2024-02-23 06:00:00.000000,2024-02-23 15:32:10.876872,953
ORD-1199,Product_B,M01,2024-02-24 06:00:00.000000,2024-02-24 12:56:49.532444,1389
ORD-1200,Product_B,M02,2024-02-24 06:00:00.000000,2024-02-24 16:01:07.725897,2003
ORD-1201,Product_B,M01,2024-02-25 06:00:00.000000,2024-02-25 10:28:42.727274,895
ORD-1202,Product_A,M02,2024-02-25 06:00:00.000000,2024-02-25 12:02:31.446007,604
ORD-1203,Product_B,M02,2024-02-25 12:54:31.446007,2024-02-25 21:53:48.393853,1797
ORD-1204,Product_B,M03,2024-02-25 06:00:00.000000,2024-02-25 16:02:08.794197,2007
ORD-1205,Product_A,M01,2024-02-26 06:00:00.000000,2024-02-26 10:13:07.083855,421
ORD-1206,Product_B,M01,2024-02-26 11:06:07.083855,2024-02-26 17:53:42.990223,1358
ORD-1207,Product_B,M02,2024-02-26 06:00:00.000000,2024-02-26 17:43:55.637383,2346
ORD-1208,Product_B,M03,2024-02-26 06:00:00.000000,2024-02-26 15:59:48.188857,1999
ORD-1209,Product_A,M01,2024-02-27 06:00:00.000000,2024-02-27 15:58:45.468215,997
ORD-1210,Product_A,M02,2024-02-27 06:00:00.000000,2024-02-27 13:53:04.803093,788
ORD-1211,Product_A,M02,2024-02-27 15:17:04.803093,2024-02-27 21:37:26.751726,633
ORD-1212,Product_B,M01,2024-02-28 06:00:00.000000,2024-02-28 14:27:11.413031,1690
ORD-1213,Product_A,M01,2024-02-28 15:51:11.413031,2024-02-28 23:09:43.439510,730
ORD-1214,Product_A,M03,2024-02-28 06:00:00.000000,2024-02-28 12:04:15.339411,607
ORD-1215,Product_A,M03,2024-02-28 12:58:15.339411,2024-02-28 21:51:47.658616,889
ORD-1216,Product_A,M01,2024-02-29 06:00:00.000000,2024-02-29 11:07:40.022671,512
ORD-1217,Product_B,M01,2024-02-29 11:41:40.022671,2024-02-29 16:47:22.856967,1019
ORD-1218,Product_B,M02,2024-02-29 06:00:00.000000,2024-02-29 16:09:30.254997,2031
ORD-1219,Product_B,M01,2024-03-01 06:00:00.000000,2024-03-01 14:10:42.547444,1635
ORD-1220,Product_B,M02,2024-03-01 06:00:00.000000,2024-03-01 17:10:03.975005,2233
ORD-1221,Product_A,M03,2024-03-01 06:00:00.000000,2024-03-01 14:55:08.067539,891
ORD-1222,Product_A,M01,2024-03-02 06:00:00.000000,2024-03-02 10:13:06.174525,421
ORD-1223,Product_B,M03,2024-03-02 06:00:00.000000,2024-03-02 17:47:27.435774,2358
ORD-1224,Product_B,M02,2024-03-03 06:00:00.000000,2024-03-03 15:29:17.732772,1897
ORD-1225,Product_A,M03,2024-03-03 06:00:00.000000,2024-03-03 11:15:02.880484,525
ORD-1226,Product_A,M03,2024-03-03 12:02:02.880484,2024-03-03 17:07:55.091981,509
ORD-1227,Product_A,M01,2024-03-04 06:00:00.000000,2024-03-04 15:21:58.820846,936
ORD-1228,Product_A,M02,2024-03-04 06:00:00.000000,2024-03-04 14:23:01.189002,838
ORD-1229,Product_A,M02,2024-03-04 15:52:01.189002,2024-03-04 20:29:51.642483,463
ORD-1230,Product_B,M03,2024-03-04 06:00:00.000000,2024-03-04 11:25:23.603281,1084
ORD-1231,Product_B,M03,2024-03-04 12:45:23.603281,2024-03-04 18:19:38.595702,1114
ORD-1232,Product_A,M01,2024-03-05 06:00:00.000000,2024-03-05 15:21:45.108562,936
ORD-1233,Product_A,M02,2024-03-05 06:00:00.000000,2024-03-05 15:11:43.006874,919
ORD-1234,Product_B,M03,2024-03-05 06:00:00.000000,2024-03-05 14:00:40.778070,1602
ORD-1235,Product_A,M03,2024-03-05 15:18:40.778070,2024-03-05 19:55:19.953923,461
ORD-1236,Product_A,M01,2024-03-06 06:00:00.000000,2024-03-06 11:28:00.376953,546
ORD-1237,Product_A,M02,2024-03-06 06:00:00.000000,2024-03-06 12:42:43.505688,671
ORD-1238,Product_A,M03,2024-03-06 06:00:00.000000,2024-03-06 17:01:15.703352,1102
ORD-1239,Product_A,M03,2024-03-08 06:00:00.000000,2024-03-08 17:23:43.536477,1139
ORD-1240,Product_B,M01,2024-03-09 06:00:00.000000,2024-03-09 10:16:44.958760,855
ORD-1241,Product_A,M02,2024-03-09 06:00:00.000000,2024-03-09 14:55:59.840488,893
ORD-1242,Product_B,M01,2024-03-10 06:00:00.000000,2024-03-10 13:57:20.447595,1591
ORD-1243,Product_A,M02,2024-03-10 06:00:00.000000,2024-03-10 13:49:15.392845,782
ORD-1244,Product_B,M03,2024-03-10 06:00:00.000000,2024-03-10 17:09:02.352045,2230
ORD-1245,Product_B,M01,2024-03-11 06:00:00.000000,2024-03-11 12:10:06.747195,1233
ORD-1246,Product_A,M01,2024-03-11 12:54:06.747195,2024-03-11 21:51:28.652925,895
ORD-1247,Product_B,M02,2024-03-11 06:00:00.000000,2024-03-11 11:14:21.418429,1047
ORD-1248,Product_B,M02,2024-03-11 12:24:21.418429,2024-03-11 20:42:49.042499,1661
ORD-1249,Product_A,M03,2024-03-11 06:00:00.000000,2024-03-11 11:19:31.727712,532
ORD-1250,Product_A,M03,2024-03-11 12:40:31.727712,2024-03-11 18:27:58.074081,579
ORD-1251,Product_A,M01,2024-03-12 06:00:00.000000,2024-03-12 11:30:28.857963,550
ORD-1252,Product_B,M02,2024-03-12 06:00:00.000000,2024-03-12 10:51:55.369544,973
ORD-1253,Product_B,M02,2024-03-12 11:35:55.369544,2024-03-12 17:53:53.399513,1259
ORD-1254,Product_B,M01,2024-03-13 06:00:00.000000,2024-03-13 16:32:27.016816,2108
ORD-1255,Product_B,M02,2024-03-13 06:00:00.000000,2024-03-13 10:14:43.976855,849
ORD-1256,Product_A,M03,2024-03-14 06:00:00.000000,2024-03-14 12:43:25.877175,672
ORD-1257,Product_A,M03,2024-03-14 13:15:25.877175,2024-03-14 22:10:02.355987,891
ORD-1258,Product_A,M01,2024-03-15 06:00:00.000000,2024-03-15 17:11:19.193940,1118
ORD-1259,Product_A,M02,2024-03-15 06:00:00.000000,2024-03-15 17:28:31.993504,1147
ORD-1260,Product_A,M03,2024-03-15 06:00:00.000000,2024-03-15 10:25:38.381369,442
ORD-1261,Product_B,M03,2024-03-17 06:00:00.000000,2024-03-17 17:29:03.114118,2296
ORD-1262,Product_B,M01,2024-03-18 06:00:00.000000,2024-03-18 10:40:14.428225,934
ORD-1263,Product_A,M01,2024-03-18 11:44:14.428225,2024-03-18 17:51:13.707596,611
ORD-1264,Product_A,M02,2024-03-18 06:00:00.000000,2024-03-18 16:14:03.033221,1023
ORD-1265,Product_B,M03,2024-03-18 06:00:00.000000,2024-03-18 11:24:50.242146,1082
ORD-1266,Product_B,M01,2024-03-19 06:00:00.000000,2024-03-19 17:10:04.824212,2233
ORD-1267,Product_A,M02,2024-03-19 06:00:00.000000,2024-03-19 16:17:43.593405,1029
ORD-1268,Product_A,M01,2024-03-20 06:00:00.000000,2024-03-20 16:12:53.872841,1021
ORD-1269,Product_B,M02,2024-03-20 06:00:00.000000,2024-03-20 15:32:55.395288,1909
ORD-1270,Product_B,M03,2024-03-20 06:00:00.000000,2024-03-20 11:01:12.412787,1004
ORD-1271,Product_A,M03,2024-03-20 12:02:12.412787,2024-03-20 19:29:49.467011,746
ORD-1272,Product_B,M01,2024-03-21 06:00:00.000000,2024-03-21 17:20:08.689887,2267
ORD-1273,Product_A,M02,2024-03-21 06:00:00.000000,2024-03-21 15:59:59.003346,999
ORD-1274,Product_B,M03,2024-03-21 06:00:00.000000,2024-03-21 14:20:05.127919,1666
ORD-1275,Product_B,M03,2024-03-21 15:17:05.127919,2024-03-21 21:00:05.278476,1143
ORD-1276,Product_A,M01,2024-03-22 06:00:00.000000,2024-03-22 17:23:17.378443,1138
ORD-1277,Product_A,M02,2024-03-22 06:00:00.000000,2024-03-22 16:25:53.414506,1043
ORD-1278,Product_A,M03,2024-03-22 06:00:00.000000,2024-03-22 17:57:10.487519,1195
ORD-1279,Product_A,M01,2024-03-23 06:00:00.000000,2024-03-23 10:43:00.763165,471
ORD-1280,Product_B,M02,2024-03-23 06:00:00.000000,2024-03-23 13:25:17.356149,1484
